time_stamp,Time,target_send_rate,increase_size_bytes,total_file_size_bytes,total_dir_size_bytes
2025-09-29 17:47:58,0.0000,10.0000,92147.6268,92147.6268,92147.6268
2025-09-29 17:48:58,1.0000,10.0000,92147.6268,184295.2536,184295.2536
2025-09-29 17:49:58,2.0000,24.2600,322357.3020,506652.5556,506652.5556
2025-09-29 17:50:58,3.0000,26.6600,361102.2684,867754.8240,867754.8240
2025-09-29 17:51:58,4.0000,10.0000,92147.6268,959902.4508,959902.4508
2025-09-29 17:52:58,5.0000,17.0600,206122.4028,1166024.8536,1166024.8536
2025-09-29 17:53:58,6.0000,10.0000,92147.6268,1258172.4804,1258172.4804
2025-09-29 17:54:58,7.0000,10.0000,92147.6268,1350320.1072,1350320.1072
2025-09-29 17:55:58,8.0000,10.0000,92147.6268,1442467.7340,1442467.7340
2025-09-29 17:56:58,9.0000,13.5400,149296.4520,1591764.1860,1591764.1860
2025-09-29 17:57:58,10.0000,10.0000,92147.6268,1683911.8128,1683911.8128
2025-09-29 17:58:58,11.0000,10.0000,92147.6268,1776059.4396,1776059.4396
2025-09-29 17:59:58,12.0000,14.6200,166731.6870,1942791.1266,1942791.1266
2025-09-29 18:00:58,13.0000,10.0000,92147.6268,2034938.7534,2034938.7534
2025-09-29 18:01:58,14.0000,10.0000,92147.6268,2127086.3802,2127086.3802
2025-09-29 18:02:58,15.0000,12.5300,132991.2792,2260077.6594,2260077.6594
2025-09-29 18:03:58,16.0000,10.0000,92147.6268,2352225.2862,2352225.2862
2025-09-29 18:04:58,17.0000,10.0000,92147.6268,2444372.9130,2444372.9130
2025-09-29 18:05:58,18.0000,10.0000,92147.6268,2536520.5398,2536520.5398
2025-09-29 18:06:58,19.0000,10.0000,92147.6268,2628668.1666,2628668.1666
2025-09-29 18:07:58,20.0000,10.0000,92147.6268,2720815.7934,2720815.7934
2025-09-29 18:08:58,21.0000,10.0000,92147.6268,2812963.4202,2812963.4202
2025-09-29 18:09:58,22.0000,16.7200,200633.5326,3013596.9528,3013596.9528
2025-09-29 18:10:58,23.0000,10.0000,92147.6268,3105744.5796,3105744.5796
2025-09-29 18:11:58,24.0000,10.0000,92147.6268,3197892.2064,3197892.2064
2025-09-29 18:12:58,25.0000,10.0000,92147.6268,3290039.8332,3290039.8332
2025-09-29 18:13:58,26.0000,10.0000,92147.6268,3382187.4600,3382187.4600
2025-09-29 18:14:58,27.0000,10.0000,92147.6268,3474335.0868,3474335.0868
2025-09-29 18:15:58,28.0000,10.0000,92147.6268,3566482.7136,3566482.7136
2025-09-29 18:16:58,29.0000,20.1300,255683.6724,3822166.3860,3822166.3860
2025-09-29 18:17:58,30.0000,10.0000,92147.6268,3914314.0128,3914314.0128
2025-09-29 18:18:58,31.0000,10.0000,92147.6268,4006461.6396,4006461.6396
2025-09-29 18:19:58,32.0000,14.1400,158982.6936,4165444.3332,4165444.3332
2025-09-29 18:20:58,33.0000,10.0000,92147.6268,4257591.9600,4257591.9600
2025-09-29 18:21:58,34.0000,36.1800,514790.6346,4772382.5946,4772382.5946
2025-09-29 18:22:58,35.0000,10.0000,92147.6268,4864530.2214,4864530.2214
2025-09-29 18:23:58,36.0000,20.3800,259719.6066,5124249.8280,5124249.8280
2025-09-29 18:24:58,37.0000,24.4100,324778.8624,5449028.6904,5449028.6904
2025-09-29 18:25:58,38.0000,14.4300,163664.3772,5612693.0676,5612693.0676
2025-09-29 18:26:58,39.0000,10.0000,92147.6268,5704840.6944,5704840.6944
2025-09-29 18:27:58,40.0000,10.0000,92147.6268,5796988.3212,5796988.3212
2025-09-29 18:28:58,41.0000,29.5500,407757.6654,6204745.9866,6204745.9866
2025-09-29 18:29:58,42.0000,58.8700,881092.0038,7085837.9904,7085837.9904
2025-09-29 18:30:58,43.0000,34.9600,495095.2770,7580933.2674,7580933.2674
2025-09-29 18:31:58,44.0000,10.0000,92147.6268,7673080.8942,7673080.8942
2025-09-29 18:32:58,45.0000,20.3100,258589.5450,7931670.4392,7931670.4392
2025-09-29 18:33:58,46.0000,10.0000,92147.6268,8023818.0660,8023818.0660
2025-09-29 18:34:58,47.0000,10.0000,92147.6268,8115965.6928,8115965.6928
2025-09-29 18:35:58,48.0000,18.2100,224687.6994,8340653.3922,8340653.3922
2025-09-29 18:36:58,49.0000,10.0000,92147.6268,8432801.0190,8432801.0190
