Time,target_send_rate,increase_size_bytes,total_file_size_bytes,total_dir_size_bytes
0.0000,10.0000,92147.6268,92147.6268,92147.6268
1.0000,15.5000,180938.1750,273085.8018,273085.8018
2.0000,25.3800,340438.2864,613524.0882,613524.0882
3.0000,10.0000,92147.6268,705671.7150,705671.7150
4.0000,10.0000,92147.6268,797819.3418,797819.3418
5.0000,10.0000,92147.6268,889966.9686,889966.9686
6.0000,10.0000,92147.6268,982114.5954,982114.5954
7.0000,10.0000,92147.6268,1074262.2222,1074262.2222
8.0000,10.0000,92147.6268,1166409.8490,1166409.8490
9.0000,10.0000,92147.6268,1258557.4758,1258557.4758
10.0000,14.7000,168023.1858,1426580.6616,1426580.6616
11.0000,22.5400,294590.0760,1721170.7376,1721170.7376
12.0000,10.0000,92147.6268,1813318.3644,1813318.3644
13.0000,10.0000,92147.6268,1905465.9912,1905465.9912
14.0000,22.4000,292329.9528,2197795.9440,2197795.9440
15.0000,52.1400,772444.6608,2970240.6048,2970240.6048
16.0000,10.0000,92147.6268,3062388.2316,3062388.2316
17.0000,10.0000,92147.6268,3154535.8584,3154535.8584
18.0000,21.1200,271665.9708,3426201.8292,3426201.8292
19.0000,10.0000,92147.6268,3518349.4560,3518349.4560
20.0000,17.6200,215162.8950,3733512.3510,3733512.3510
21.0000,10.0000,92147.6268,3825659.9778,3825659.9778
22.0000,10.0000,92147.6268,3917807.6046,3917807.6046
23.0000,10.0000,92147.6268,4009955.2314,4009955.2314
24.0000,12.5800,133798.4658,4143753.6972,4143753.6972
25.0000,10.0000,92147.6268,4235901.3240,4235901.3240
26.0000,20.8300,266984.2872,4502885.6112,4502885.6112
27.0000,20.1000,255199.3602,4758084.9714,4758084.9714
28.0000,10.0000,92147.6268,4850232.5982,4850232.5982
29.0000,10.0000,92147.6268,4942380.2250,4942380.2250
30.0000,10.0000,92147.6268,5034527.8518,5034527.8518
31.0000,10.0000,92147.6268,5126675.4786,5126675.4786
32.0000,29.3900,405174.6672,5531850.1458,5531850.1458
33.0000,10.0000,92147.6268,5623997.7726,5623997.7726
34.0000,10.0000,92147.6268,5716145.3994,5716145.3994
35.0000,22.3500,291522.7662,6007668.1656,6007668.1656
36.0000,10.0000,92147.6268,6099815.7924,6099815.7924
37.0000,10.0000,92147.6268,6191963.4192,6191963.4192
38.0000,32.3300,452637.2514,6644600.6706,6644600.6706
39.0000,10.0000,92147.6268,6736748.2974,6736748.2974
40.0000,11.6100,118139.0418,6854887.3392,6854887.3392
41.0000,10.0000,92147.6268,6947034.9660,6947034.9660
42.0000,10.0000,92147.6268,7039182.5928,7039182.5928
43.0000,27.1600,369174.1362,7408356.7290,7408356.7290
44.0000,10.0000,92147.6268,7500504.3558,7500504.3558
45.0000,12.7000,135735.7140,7636240.0698,7636240.0698
46.0000,10.0000,92147.6268,7728387.6966,7728387.6966
47.0000,10.0000,92147.6268,7820535.3234,7820535.3234
48.0000,23.8800,316222.6824,8136758.0058,8136758.0058
49.0000,10.0000,92147.6268,8228905.6326,8228905.6326
50.0000,10.0000,92147.6268,8321053.2594,8321053.2594
51.0000,16.6500,199503.4710,8520556.7304,8520556.7304
52.0000,13.1400,142838.9580,8663395.6884,8663395.6884
53.0000,10.0000,92147.6268,8755543.3152,8755543.3152
54.0000,10.0000,92147.6268,8847690.9420,8847690.9420
55.0000,10.0000,92147.6268,8939838.5688,8939838.5688
56.0000,10.0000,92147.6268,9031986.1956,9031986.1956
57.0000,10.0000,92147.6268,9124133.8224,9124133.8224
58.0000,16.7600,201279.2820,9325413.1044,9325413.1044
59.0000,28.6100,392582.5536,9717995.6580,9717995.6580
60.0000,14.1100,158498.3820,9876494.0400,9876494.0400
61.0000,10.0000,92147.6268,9968641.6668,9968641.6668
62.0000,10.0000,92147.6268,10060789.2936,10060789.2936
63.0000,10.0000,92147.6268,10152936.9204,10152936.9204
64.0000,10.0000,92147.6268,10245084.5472,10245084.5472
65.0000,10.0000,92147.6268,10337232.1740,10337232.1740
