Time,target_send_rate,increase_size_bytes,total_file_size_bytes,total_dir_size_bytes
0.0000,25.6200,344312.7828,344312.7828,344312.7828
1.0000,10.0000,92147.6268,436460.4096,436460.4096
2.0000,10.0000,92147.6268,528608.0364,528608.0364
3.0000,10.0000,92147.6268,620755.6632,620755.6632
4.0000,10.0000,92147.6268,712903.2900,712903.2900
5.0000,10.0000,92147.6268,805050.9168,805050.9168
6.0000,10.0000,92147.6268,897198.5436,897198.5436
7.0000,10.0000,92147.6268,989346.1704,989346.1704
8.0000,10.0000,92147.6268,1081493.7972,1081493.7972
9.0000,22.0300,286356.7704,1367850.5676,1367850.5676
10.0000,10.0000,92147.6268,1459998.1944,1459998.1944
11.0000,31.3000,436009.2030,1896007.3974,1896007.3974
12.0000,10.0000,92147.6268,1988155.0242,1988155.0242
13.0000,13.6400,150910.8258,2139065.8500,2139065.8500
14.0000,11.7200,119914.8528,2258980.7028,2258980.7028
15.0000,10.0000,92147.6268,2351128.3296,2351128.3296
16.0000,10.0000,92147.6268,2443275.9564,2443275.9564
17.0000,10.0000,92147.6268,2535423.5832,2535423.5832
18.0000,10.0000,92147.6268,2627571.2100,2627571.2100
19.0000,10.0000,92147.6268,2719718.8368,2719718.8368
20.0000,10.0000,92147.6268,2811866.4636,2811866.4636
21.0000,22.6100,295720.1376,3107586.6012,3107586.6012
22.0000,12.9400,139610.2104,3247196.8116,3247196.8116
23.0000,12.5000,132506.9670,3379703.7786,3379703.7786
24.0000,10.0000,92147.6268,3471851.4054,3471851.4054
25.0000,10.0000,92147.6268,3563999.0322,3563999.0322
26.0000,10.0000,92147.6268,3656146.6590,3656146.6590
27.0000,21.8700,283773.7728,3939920.4318,3939920.4318
28.0000,15.7100,184328.3592,4124248.7910,4124248.7910
29.0000,18.2100,224687.6994,4348936.4904,4348936.4904
30.0000,10.0000,92147.6268,4441084.1172,4441084.1172
31.0000,10.0000,92147.6268,4533231.7440,4533231.7440
32.0000,11.4600,115717.4814,4648949.2254,4648949.2254
33.0000,19.3200,242607.2460,4891556.4714,4891556.4714
34.0000,19.5500,246320.3052,5137876.7766,5137876.7766
35.0000,31.1300,433264.7682,5571141.5448,5571141.5448
36.0000,10.0000,92147.6268,5663289.1716,5663289.1716
37.0000,10.0000,92147.6268,5755436.7984,5755436.7984
38.0000,10.0000,92147.6268,5847584.4252,5847584.4252
