Time,target_send_rate,increase_size_bytes,total_file_size_bytes,total_dir_size_bytes
0.0000,10.0000,92147.6268,92147.6268,92147.6268
1.0000,10.0000,92147.6268,184295.2536,184295.2536
2.0000,24.2600,322357.3020,506652.5556,506652.5556
3.0000,26.6600,361102.2684,867754.8240,867754.8240
4.0000,10.0000,92147.6268,959902.4508,959902.4508
5.0000,17.0600,206122.4028,1166024.8536,1166024.8536
6.0000,10.0000,92147.6268,1258172.4804,1258172.4804
7.0000,10.0000,92147.6268,1350320.1072,1350320.1072
8.0000,10.0000,92147.6268,1442467.7340,1442467.7340
9.0000,13.5400,149296.4520,1591764.1860,1591764.1860
10.0000,10.0000,92147.6268,1683911.8128,1683911.8128
11.0000,10.0000,92147.6268,1776059.4396,1776059.4396
12.0000,14.6200,166731.6870,1942791.1266,1942791.1266
13.0000,10.0000,92147.6268,2034938.7534,2034938.7534
14.0000,10.0000,92147.6268,2127086.3802,2127086.3802
15.0000,12.5300,132991.2792,2260077.6594,2260077.6594
16.0000,10.0000,92147.6268,2352225.2862,2352225.2862
17.0000,10.0000,92147.6268,2444372.9130,2444372.9130
18.0000,10.0000,92147.6268,2536520.5398,2536520.5398
19.0000,10.0000,92147.6268,2628668.1666,2628668.1666
20.0000,10.0000,92147.6268,2720815.7934,2720815.7934
21.0000,10.0000,92147.6268,2812963.4202,2812963.4202
22.0000,16.7200,200633.5326,3013596.9528,3013596.9528
23.0000,10.0000,92147.6268,3105744.5796,3105744.5796
24.0000,10.0000,92147.6268,3197892.2064,3197892.2064
25.0000,10.0000,92147.6268,3290039.8332,3290039.8332
26.0000,10.0000,92147.6268,3382187.4600,3382187.4600
27.0000,10.0000,92147.6268,3474335.0868,3474335.0868
28.0000,10.0000,92147.6268,3566482.7136,3566482.7136
29.0000,20.1300,255683.6724,3822166.3860,3822166.3860
30.0000,10.0000,92147.6268,3914314.0128,3914314.0128
31.0000,10.0000,92147.6268,4006461.6396,4006461.6396
32.0000,14.1400,158982.6936,4165444.3332,4165444.3332
33.0000,10.0000,92147.6268,4257591.9600,4257591.9600
34.0000,36.1800,514790.6346,4772382.5946,4772382.5946
35.0000,10.0000,92147.6268,4864530.2214,4864530.2214
36.0000,20.3800,259719.6066,5124249.8280,5124249.8280
37.0000,24.4100,324778.8624,5449028.6904,5449028.6904
38.0000,14.4300,163664.3772,5612693.0676,5612693.0676
39.0000,10.0000,92147.6268,5704840.6944,5704840.6944
40.0000,10.0000,92147.6268,5796988.3212,5796988.3212
41.0000,29.5500,407757.6654,6204745.9866,6204745.9866
42.0000,58.8700,881092.0038,7085837.9904,7085837.9904
43.0000,34.9600,495095.2770,7580933.2674,7580933.2674
44.0000,10.0000,92147.6268,7673080.8942,7673080.8942
45.0000,20.3100,258589.5450,7931670.4392,7931670.4392
