Time,target_send_rate,increase_size_bytes,total_file_size_bytes,total_dir_size_bytes
0.0000,38.1900,547239.5442,547239.5442,547239.5442
1.0000,30.5700,424224.2760,971463.8202,971463.8202
2.0000,10.0000,92147.6268,1063611.4470,1063611.4470
3.0000,10.0000,92147.6268,1155759.0738,1155759.0738
4.0000,10.0000,92147.6268,1247906.7006,1247906.7006
5.0000,10.0000,92147.6268,1340054.3274,1340054.3274
6.0000,10.0000,92147.6268,1432201.9542,1432201.9542
7.0000,15.3200,178032.3024,1610234.2566,1610234.2566
8.0000,10.0000,92147.6268,1702381.8834,1702381.8834
9.0000,10.0000,92147.6268,1794529.5102,1794529.5102
10.0000,10.0000,92147.6268,1886677.1370,1886677.1370
11.0000,10.0000,92147.6268,1978824.7638,1978824.7638
12.0000,10.0000,92147.6268,2070972.3906,2070972.3906
13.0000,33.2900,468135.2376,2539107.6282,2539107.6282
14.0000,10.0000,92147.6268,2631255.2550,2631255.2550
15.0000,47.6300,699636.4116,3330891.6666,3330891.6666
16.0000,29.9700,414538.0344,3745429.7010,3745429.7010
17.0000,10.0000,92147.6268,3837577.3278,3837577.3278
18.0000,10.0000,92147.6268,3929724.9546,3929724.9546
19.0000,10.0000,92147.6268,4021872.5814,4021872.5814
20.0000,48.6100,715457.2728,4737329.8542,4737329.8542
21.0000,49.6100,731601.0090,5468930.8632,5468930.8632
22.0000,10.0000,92147.6268,5561078.4900,5561078.4900
23.0000,10.0000,92147.6268,5653226.1168,5653226.1168
24.0000,10.0000,92147.6268,5745373.7436,5745373.7436
25.0000,10.0000,92147.6268,5837521.3704,5837521.3704
26.0000,24.7100,329621.9832,6167143.3536,6167143.3536
27.0000,17.0800,206445.2778,6373588.6314,6373588.6314
28.0000,10.0000,92147.6268,6465736.2582,6465736.2582
29.0000,10.0000,92147.6268,6557883.8850,6557883.8850
30.0000,10.0000,92147.6268,6650031.5118,6650031.5118
31.0000,10.0000,92147.6268,6742179.1386,6742179.1386
32.0000,17.9700,220813.2024,6962992.3410,6962992.3410
33.0000,10.0000,92147.6268,7055139.9678,7055139.9678
