Time,target_send_rate,total_size_bytes,total_dir_size_bytes
0.0000,10.0000,92147.6268,92147.6268
1.0000,10.0000,184295.2536,276442.8804
2.0000,10.0000,276442.8804,552885.7608
3.0000,10.2400,372465.0042,925350.7650
4.0000,10.0000,464612.6310,1389963.3960
5.0000,10.0000,556760.2578,1946723.6538
6.0000,10.0000,648907.8846,2595631.5384
7.0000,10.0000,741055.5114,3336687.0498
8.0000,10.0000,833203.1382,4169890.1880
9.0000,10.0000,925350.7650,5095240.9530
10.0000,10.0000,1017498.3918,6112739.3448
11.0000,10.0000,1109646.0186,7222385.3634
12.0000,10.0000,1201793.6454,8424179.0088
13.0000,10.0000,1293941.2722,9718120.2810
14.0000,10.0000,1386088.8990,11104209.1800
15.0000,13.3400,1532156.6040,12636365.7840
16.0000,10.0000,1624304.2308,14260670.0148
17.0000,10.0000,1716451.8576,15977121.8724
18.0000,10.0000,1808599.4844,17785721.3568
19.0000,10.0000,1900747.1112,19686468.4680
20.0000,10.0000,1992894.7380,21679363.2060
21.0000,10.0000,2085042.3648,23764405.5708
22.0000,11.7500,2205441.5298,25969847.1006
23.0000,10.0000,2297589.1566,28267436.2572
24.0000,15.1500,2472877.0236,30740313.2808
25.0000,11.1200,2583105.6348,33323418.9156
26.0000,14.3400,2745317.0760,36068735.9916
27.0000,10.0000,2837464.7028,38906200.6944
28.0000,10.0000,2929612.3296,41835813.0240
29.0000,15.3000,3107321.7570,44943134.7810
30.0000,10.0000,3199469.3838,48142604.1648
31.0000,12.3000,3328747.6032,51471351.7680
32.0000,10.0000,3420895.2300,54892246.9980
33.0000,21.1800,3693529.8252,58585776.8232
34.0000,10.0000,3785677.4520,62371454.2752
35.0000,23.4900,4095604.0770,66467058.3522
36.0000,10.0000,4187751.7038,70654810.0560
37.0000,10.0000,4279899.3306,74934709.3866
38.0000,10.0000,4372046.9574,79306756.3440
39.0000,10.0000,4464194.5842,83770950.9282
40.0000,16.4000,4659662.1216,88430613.0498
41.0000,15.9700,4848187.8522,93278800.9020
42.0000,10.0000,4940335.4790,98219136.3810
43.0000,24.4500,5265760.0908,103484896.4718
44.0000,23.2500,5571812.2194,109056708.6912
45.0000,19.0000,5809253.4702,114865962.1614
46.0000,20.2600,6067035.8280,120932997.9894
47.0000,21.2500,6340800.4848,127273798.4742
48.0000,23.7600,6655085.9190,133928884.3932
49.0000,16.5100,6852329.2668,140781213.6600
50.0000,12.1700,6979508.8008,147760722.4608
51.0000,15.0000,7152375.1074,154913097.5682
52.0000,26.4000,7509280.0044,162422377.5726
53.0000,27.3200,7881037.1382,170303414.7108
54.0000,13.0000,8021615.9730,178325030.6838
55.0000,20.9200,8290053.1968,186615083.8806
56.0000,15.7400,8474865.8682,195089949.7488
57.0000,24.8200,8806263.6624,203896213.4112
58.0000,13.2000,8950071.2442,212846284.6554
59.0000,24.9600,9283729.1610,222130013.8164
60.0000,11.5600,9401061.0162,231531074.8326
61.0000,25.1700,9738109.1178,241269183.9504
62.0000,26.4900,10096466.9508,251365650.9012
63.0000,17.9400,10316795.8416,261682446.7428
64.0000,14.1100,10475294.2236,272157740.9664
65.0000,20.7200,10740502.7004,282898243.6668
66.0000,18.3100,10966804.7730,293865048.4398
67.0000,27.8500,11347118.0868,305212166.5266
68.0000,29.1600,11748579.6948,316960746.2214
69.0000,34.3700,12234150.1674,329194896.3888
70.0000,23.9700,12551825.7858,341746722.1746
71.0000,37.2300,13083567.3432,354830289.5178
72.0000,15.5600,13265474.1420,368095763.6598
73.0000,22.2700,13555705.4094,381651469.0692
74.0000,20.9000,13823819.7582,395475288.8274
75.0000,24.2200,14145531.3108,409620820.1382
76.0000,32.8000,14605756.1178,424226576.2560
77.0000,29.6000,15014320.9698,439240897.2258
78.0000,25.1700,15351369.0714,454592266.2972
79.0000,30.4700,15773978.9736,470366245.2708
80.0000,38.0900,16319604.1440,486685849.4148
81.0000,29.6200,16728491.8710,503414341.2858
82.0000,29.1100,17129146.2924,520543487.5782
83.0000,28.9800,17527702.0278,538071189.6060
84.0000,31.4000,17965325.6046,556036515.2106
85.0000,23.1700,18270086.2344,574306601.4450
86.0000,18.5700,18500585.6784,592807187.1234
87.0000,37.4600,19036040.2950,611843227.4184
88.0000,50.8700,19787982.4110,631631209.8294
89.0000,33.7200,20263059.4554,651894269.2848
90.0000,26.3500,20619157.1652,672513426.4500
91.0000,36.9500,21146378.4768,693659804.9268
92.0000,36.0700,21659393.3004,715319198.2272
93.0000,33.6000,22132533.0960,737451731.3232
94.0000,24.6000,22460379.2682,759912110.5914
95.0000,36.7400,22984210.3950,782896320.9864
96.0000,42.5400,23601675.1908,806497996.1772
97.0000,32.3400,24054473.8794,830552470.0566
98.0000,37.1400,24584762.5008,855137232.5574
99.0000,29.8100,24996717.5376,880133950.0950
100.0000,32.4700,25451614.9116,905585565.0066
101.0000,43.6100,26086353.5046,931671918.5112
102.0000,40.2200,26666364.8328,958338283.3440
103.0000,26.0700,27017942.2968,985356225.6408
104.0000,35.0000,27513683.3232,1012869908.9640
105.0000,39.6900,28085138.4714,1040955047.4354
106.0000,31.6800,28527282.2940,1069482329.7294
107.0000,38.9600,29086952.5146,1098569282.2440
108.0000,40.0400,29664057.9702,1128233340.2142
109.0000,33.5300,30136067.7048,1158369407.9190
110.0000,30.7800,30563682.1650,1188933090.0840
111.0000,33.4800,31034884.7124,1219967974.7964
112.0000,42.6700,31654448.1936,1251622422.9900
113.0000,44.6300,32305653.3972,1283928076.3872
