@relation Dynamic_Log_Rate_s1_alpha0.9
@attribute Time numeric
@attribute log_rate_msg_per_sec numeric
@data
0.00,17.94
1.00,20.78
2.00,18.91
3.00,27.58
4.00,28.28
5.00,19.24
6.00,24.06
7.00,23.11
8.00,16.15
9.00,23.03
10.00,16.54
11.00,26.43
12.00,25.93
13.00,27.78
14.00,25.30
15.00,27.60
16.00,30.39
17.00,22.08
18.00,27.82
19.00,27.19
20.00,24.39
21.00,23.36
22.00,30.34
23.00,27.55
24.00,25.84
25.00,32.85
26.00,27.15
27.00,29.00
28.00,26.03
29.00,35.34
30.00,30.57
31.00,27.17
32.00,37.80
33.00,35.12
34.00,31.77
35.00,38.06
36.00,34.27
37.00,34.11
38.00,30.84
39.00,35.00
40.00,39.20
41.00,34.60
42.00,36.89
43.00,37.64
44.00,36.63
45.00,34.39
46.00,36.98
47.00,39.58
48.00,43.04
49.00,42.05
50.00,37.75
51.00,43.42
52.00,41.54
53.00,42.88
54.00,36.37
55.00,43.86
56.00,46.65
57.00,42.88
58.00,43.73
59.00,43.45
60.00,44.17
61.00,46.65
62.00,38.91
63.00,40.18
64.00,40.71
65.00,36.78
66.00,46.88
67.00,50.98
68.00,47.74
69.00,48.83
70.00,48.11
71.00,50.46
72.00,47.98
73.00,53.32
74.00,45.75
75.00,46.02
76.00,47.38
77.00,55.27
78.00,47.05
79.00,55.58
80.00,46.35
81.00,48.97
82.00,54.60
83.00,53.88
84.00,57.02
85.00,50.23
86.00,53.08
87.00,48.81
88.00,54.79
89.00,49.63
90.00,55.78
91.00,52.82
92.00,55.71
93.00,51.96
94.00,57.52
95.00,56.83
96.00,57.84
97.00,56.85
98.00,55.16
99.00,55.33
100.00,59.41
101.00,51.66
102.00,58.75
103.00,55.81
104.00,59.18
105.00,58.99
106.00,62.62
107.00,63.00
108.00,56.45
109.00,61.12
110.00,63.27
111.00,54.17
112.00,62.42
113.00,65.68
114.00,65.44
115.00,60.07
116.00,59.49
117.00,63.24
118.00,63.81
119.00,70.44
120.00,67.60
121.00,64.90
122.00,69.52
123.00,63.92
124.00,61.34
125.00,65.47
126.00,67.09
127.00,64.52
128.00,72.80
129.00,69.04
130.00,71.88
131.00,67.52
132.00,70.81
133.00,67.43
134.00,69.22
135.00,70.37
136.00,67.61
137.00,69.50
138.00,69.01
139.00,73.58
140.00,74.12
