@relation Dynamic_Log_Rate_s5_alpha0.8
@attribute Time numeric
@attribute log_rate_msg_per_sec numeric
@data
0.00,18.62
1.00,14.63
2.00,25.02
3.00,18.55
4.00,24.26
5.00,16.90
6.00,33.83
7.00,20.19
8.00,19.01
9.00,30.82
10.00,19.07
11.00,21.51
12.00,23.44
13.00,25.87
14.00,26.11
15.00,21.39
16.00,25.80
17.00,26.22
18.00,31.39
19.00,21.87
20.00,19.20
21.00,23.17
22.00,28.67
23.00,23.94
24.00,25.06
25.00,26.06
26.00,28.66
27.00,26.77
28.00,21.53
29.00,27.18
30.00,21.85
31.00,30.87
32.00,29.59
33.00,27.02
34.00,37.81
35.00,37.45
36.00,33.74
37.00,28.91
38.00,25.72
39.00,32.32
40.00,26.62
41.00,36.46
42.00,38.01
43.00,33.64
44.00,45.74
45.00,36.72
46.00,27.94
47.00,40.77
48.00,31.30
49.00,41.48
50.00,40.71
51.00,37.24
52.00,53.09
53.00,35.15
54.00,37.86
55.00,37.69
56.00,33.30
57.00,29.49
58.00,45.59
59.00,50.95
60.00,39.81
61.00,51.65
62.00,41.08
63.00,36.16
64.00,47.64
65.00,50.07
66.00,43.75
67.00,46.17
68.00,47.10
69.00,47.09
70.00,41.40
71.00,39.24
72.00,34.45
73.00,61.87
74.00,43.25
75.00,40.03
76.00,47.07
77.00,50.29
78.00,56.33
79.00,50.89
80.00,47.29
81.00,57.38
82.00,48.45
83.00,41.53
84.00,51.70
85.00,34.97
86.00,37.59
87.00,54.89
88.00,52.16
89.00,39.42
90.00,57.73
91.00,55.21
92.00,56.22
93.00,45.43
94.00,55.97
95.00,43.12
96.00,52.59
97.00,53.37
98.00,51.39
99.00,53.82
100.00,48.85
101.00,60.40
102.00,50.12
103.00,58.95
104.00,52.09
105.00,63.05
106.00,63.38
107.00,70.12
108.00,49.99
109.00,73.19
110.00,54.06
111.00,61.24
112.00,52.28
113.00,57.46
114.00,59.97
115.00,55.50
116.00,59.12
117.00,58.44
118.00,55.23
119.00,62.46
120.00,57.48
121.00,56.39
122.00,63.25
123.00,58.12
124.00,66.31
125.00,64.04
126.00,65.67
127.00,48.93
128.00,64.28
129.00,59.22
130.00,58.87
131.00,57.27
132.00,66.54
133.00,66.59
134.00,60.04
135.00,73.62
136.00,65.33
137.00,84.16
138.00,70.00
139.00,66.92
140.00,71.58
141.00,67.64
142.00,60.26
143.00,64.03
144.00,70.48
145.00,69.28
146.00,66.21
147.00,72.96
148.00,66.78
149.00,75.13
150.00,80.25
151.00,75.43
152.00,69.88
153.00,80.21
154.00,71.61
155.00,60.21
156.00,72.26
157.00,70.52
158.00,71.03
159.00,65.62
160.00,69.75
161.00,76.89
162.00,80.22
163.00,70.74
164.00,77.36
165.00,75.58
166.00,78.63
167.00,79.44
168.00,70.18
169.00,77.68
170.00,61.15
171.00,75.48
172.00,67.61
173.00,70.34
174.00,70.20
175.00,69.34
176.00,78.01
177.00,76.99
178.00,69.25
179.00,82.46
180.00,73.27
181.00,78.87
182.00,67.81
183.00,85.74
184.00,81.30
185.00,80.94
186.00,78.71
187.00,81.08
188.00,82.91
189.00,74.45
190.00,65.27
191.00,83.47
192.00,72.57
193.00,71.03
194.00,72.30
195.00,81.82
196.00,79.33
197.00,81.92
198.00,87.26
199.00,90.73
200.00,78.65
201.00,81.29
202.00,90.03
203.00,94.70
204.00,77.08
205.00,86.69
206.00,83.75
207.00,82.69
208.00,81.66
209.00,85.54
210.00,81.52
211.00,84.80
212.00,91.85
213.00,84.74
214.00,85.75
215.00,90.24
216.00,88.47
217.00,79.29
218.00,86.28
219.00,91.41
220.00,88.28
221.00,85.98
222.00,83.40
223.00,79.46
224.00,99.15
225.00,81.02
226.00,96.43
227.00,71.83
228.00,94.93
229.00,88.84
230.00,81.56
231.00,86.48
232.00,88.85
233.00,91.76
234.00,90.87
235.00,95.83
236.00,99.60
237.00,89.70
238.00,90.93
239.00,87.43
240.00,89.23
241.00,95.30
242.00,93.00
243.00,88.39
244.00,73.63
245.00,86.68
246.00,86.76
247.00,93.14
248.00,92.55
249.00,93.77
250.00,90.44
251.00,90.06
252.00,90.02
253.00,98.57
254.00,88.80
255.00,87.09
256.00,90.70
257.00,92.18
258.00,96.49
259.00,82.30
260.00,93.24
261.00,84.61
262.00,100.75
263.00,88.48
264.00,84.06
265.00,79.82
266.00,78.09
267.00,90.02
268.00,95.71
269.00,101.31
270.00,96.92
271.00,93.53
272.00,98.76
273.00,89.34
274.00,81.40
275.00,103.16
276.00,96.38
277.00,97.33
278.00,98.39
279.00,97.30
280.00,93.44
281.00,86.57
282.00,89.34
283.00,93.69
284.00,100.48
285.00,79.33
286.00,98.28
287.00,86.24
288.00,104.56
289.00,93.37
290.00,101.98
291.00,94.71
292.00,102.60
293.00,95.60
294.00,101.95
295.00,97.63
296.00,91.23
297.00,93.86
298.00,94.28
299.00,91.71
300.00,100.21
301.00,101.36
302.00,98.41
303.00,101.01
304.00,94.77
305.00,94.36
306.00,97.38
307.00,102.83
308.00,101.48
309.00,92.96
310.00,94.73
311.00,101.47
312.00,100.01
313.00,98.67
314.00,95.98
315.00,94.08
316.00,104.21
317.00,99.43
318.00,98.87
319.00,104.95
320.00,95.01
321.00,97.20
322.00,92.90
323.00,105.38
324.00,97.25
325.00,112.51
326.00,92.61
327.00,106.97
328.00,90.47
329.00,93.40
330.00,102.04
331.00,104.85
332.00,108.65
333.00,109.70
334.00,100.11
335.00,97.55
336.00,100.35
337.00,97.38
338.00,98.20
339.00,91.28
340.00,100.73
341.00,101.20
342.00,110.19
343.00,119.23
344.00,109.43
345.00,93.23
346.00,93.81
347.00,94.25
348.00,90.19
349.00,100.25
350.00,93.71
351.00,102.79
352.00,107.01
353.00,106.94
354.00,99.39
355.00,99.08
356.00,115.40
357.00,104.44
358.00,102.70
359.00,98.02
360.00,102.75
361.00,102.81
362.00,98.06
363.00,93.44
364.00,108.77
365.00,111.43
366.00,109.99
367.00,91.04
368.00,101.26
369.00,106.09
370.00,87.35
371.00,99.03
372.00,97.88
373.00,103.15
374.00,102.45
375.00,102.34
376.00,109.70
377.00,104.22
378.00,99.15
379.00,90.11
380.00,97.76
381.00,93.63
382.00,98.99
383.00,100.02
384.00,100.78
385.00,98.75
386.00,102.03
387.00,99.24
388.00,102.33
389.00,82.89
390.00,117.78
391.00,92.95
392.00,97.56
393.00,100.96
394.00,93.20
395.00,90.24
396.00,95.31
397.00,93.19
398.00,105.79
399.00,101.80
400.00,102.13
401.00,97.81
402.00,91.63
403.00,107.16
404.00,88.15
405.00,101.73
406.00,101.97
407.00,98.69
408.00,93.59
409.00,97.94
410.00,101.26
411.00,109.55
412.00,104.99
413.00,106.13
414.00,96.12
415.00,91.27
416.00,98.71
417.00,101.65
418.00,89.60
419.00,94.71
420.00,90.31
421.00,98.14
422.00,94.88
423.00,88.84
424.00,102.24
425.00,95.71
426.00,99.81
427.00,100.34
428.00,101.60
429.00,96.02
430.00,90.55
431.00,101.32
432.00,84.73
433.00,106.94
434.00,101.17
435.00,104.73
436.00,100.24
437.00,95.73
438.00,95.63
439.00,87.37
440.00,95.19
441.00,94.35
442.00,99.26
443.00,92.49
444.00,102.54
445.00,97.02
446.00,95.15
447.00,86.40
448.00,99.08
449.00,101.47
450.00,85.58
451.00,104.03
452.00,99.51
453.00,81.24
454.00,88.09
455.00,96.58
456.00,91.54
457.00,100.53
458.00,96.56
459.00,86.10
460.00,95.74
461.00,94.70
462.00,92.53
463.00,85.69
464.00,102.51
465.00,100.61
466.00,93.26
467.00,94.78
468.00,99.00
469.00,92.48
470.00,78.25
471.00,96.95
472.00,88.73
473.00,85.08
474.00,85.43
475.00,95.17
476.00,88.48
477.00,89.03
