time_stamp,Time,target_send_rate,increase_size_bytes,total_file_size_bytes,rotated_total_dir_size_bytes
2020-01-01 00:00:00,0.0000,10.0000,92147.6268,92147.6268,92147.6268
2020-01-01 00:01:00,1.0000,10.0000,92147.6268,184295.2536,184295.2536
2020-01-01 00:02:00,2.0000,10.0000,92147.6268,276442.8804,276442.8804
2020-01-01 00:03:00,3.0000,10.0000,92147.6268,368590.5072,368590.5072
2020-01-01 00:04:00,4.0000,10.0000,92147.6268,460738.1340,460738.1340
2020-01-01 00:05:00,5.0000,10.0000,92147.6268,552885.7608,552885.7608
2020-01-01 00:06:00,6.0000,10.0000,92147.6268,645033.3876,645033.3876
2020-01-01 00:07:00,7.0000,11.1000,109905.7362,754939.1238,754939.1238
2020-01-01 00:08:00,8.0000,10.0000,92147.6268,847086.7506,847086.7506
2020-01-01 00:09:00,9.0000,10.0000,92147.6268,939234.3774,939234.3774
2020-01-01 00:10:00,10.0000,10.0000,92147.6268,1031382.0042,1031382.0042
2020-01-01 00:11:00,11.0000,10.0000,92147.6268,1123529.6310,1123529.6310
2020-01-01 00:12:00,12.0000,10.0000,92147.6268,1215677.2578,1215677.2578
2020-01-01 00:13:00,13.0000,10.0000,92147.6268,1307824.8846,1307824.8846
2020-01-01 00:14:00,14.0000,10.0000,92147.6268,1399972.5114,1399972.5114
2020-01-01 00:15:00,15.0000,10.0000,92147.6268,1492120.1382,1492120.1382
2020-01-01 00:16:00,16.0000,10.9100,106838.4264,1598958.5646,1598958.5646
2020-01-01 00:17:00,17.0000,10.0000,92147.6268,1691106.1914,1691106.1914
2020-01-01 00:18:00,18.0000,12.4000,130892.5932,1821998.7846,1821998.7846
2020-01-01 00:19:00,19.0000,10.0000,92147.6268,1914146.4114,1914146.4114
2020-01-01 00:20:00,20.0000,10.0000,92147.6268,2006294.0382,2006294.0382
2020-01-01 00:21:00,21.0000,11.4400,115394.6064,2121688.6446,2121688.6446
2020-01-01 00:22:00,22.0000,10.0000,92147.6268,2213836.2714,2213836.2714
2020-01-01 00:23:00,23.0000,10.0000,92147.6268,2305983.8982,2305983.8982
2020-01-01 00:24:00,24.0000,11.6400,118623.3540,2424607.2522,2424607.2522
2020-01-01 00:25:00,25.0000,10.0000,92147.6268,2516754.8790,2516754.8790
2020-01-01 00:26:00,26.0000,10.0000,92147.6268,2608902.5058,2608902.5058
2020-01-01 00:27:00,27.0000,10.0400,92793.3762,2701695.8820,2701695.8820
2020-01-01 00:28:00,28.0000,14.2800,161242.8168,2862938.6988,2862938.6988
2020-01-01 00:29:00,29.0000,14.9400,171897.6828,3034836.3816,3034836.3816
2020-01-01 00:30:00,30.0000,10.4800,99896.6202,3134733.0018,3134733.0018
2020-01-01 00:31:00,31.0000,10.0000,92147.6268,3226880.6286,3226880.6286
2020-01-01 00:32:00,32.0000,17.9900,221136.0774,3448016.7060,3448016.7060
2020-01-01 00:33:00,33.0000,16.9100,203700.8424,3651717.5484,3651717.5484
2020-01-01 00:34:00,34.0000,14.4100,163341.5028,3815059.0512,3815059.0512
2020-01-01 00:35:00,35.0000,10.0900,93600.5634,3908659.6146,3908659.6146
2020-01-01 00:36:00,36.0000,13.1000,142193.2086,4050852.8232,4050852.8232
2020-01-01 00:37:00,37.0000,20.6300,263755.5402,4314608.3634,4314608.3634
2020-01-01 00:38:00,38.0000,16.7000,200310.6582,4514919.0216,4514919.0216
2020-01-01 00:39:00,39.0000,22.5000,293944.3266,4808863.3482,4808863.3482
2020-01-01 00:40:00,40.0000,17.8400,218714.5170,5027577.8652,5027577.8652
2020-01-01 00:41:00,41.0000,18.4400,228400.7586,5255978.6238,5255978.6238
2020-01-01 00:42:00,42.0000,17.3600,210965.5236,5466944.1474,5466944.1474
