@relation Dynamic_Log_Rate_s5_alpha0.9
@attribute Time numeric
@attribute target_send_rate numeric
@data
0.00,10.00
1.00,10.00
2.00,10.00
3.00,10.00
4.00,10.00
5.00,10.00
6.00,10.00
7.00,11.10
8.00,10.00
9.00,10.00
10.00,10.00
11.00,10.00
12.00,10.00
13.00,10.00
14.00,10.00
15.00,10.00
16.00,10.91
17.00,10.00
18.00,12.40
19.00,10.00
20.00,10.00
21.00,11.44
22.00,10.00
23.00,10.00
24.00,11.64
25.00,10.00
26.00,10.00
27.00,10.04
28.00,14.28
29.00,14.94
30.00,10.48
31.00,10.00
32.00,17.99
33.00,16.91
34.00,14.41
35.00,10.09
36.00,13.10
37.00,20.63
38.00,16.70
39.00,22.50
40.00,17.84
41.00,18.44
42.00,17.36
43.00,11.18
44.00,12.56
45.00,16.30
46.00,21.75
47.00,17.79
48.00,20.97
49.00,14.37
50.00,22.94
51.00,24.05
52.00,22.24
53.00,19.23
54.00,28.88
55.00,16.80
56.00,22.61
57.00,21.49
58.00,23.06
59.00,25.77
60.00,27.27
61.00,21.63
62.00,25.62
63.00,21.22
64.00,29.06
65.00,28.71
66.00,27.77
67.00,29.82
68.00,22.83
69.00,25.60
70.00,29.90
71.00,27.53
72.00,37.47
73.00,31.83
74.00,30.52
75.00,30.93
76.00,32.51
77.00,31.10
78.00,26.74
79.00,32.37
80.00,34.62
81.00,33.43
82.00,30.86
83.00,29.07
84.00,26.48
85.00,36.91
86.00,33.62
87.00,33.94
88.00,36.27
89.00,30.51
90.00,35.48
91.00,36.12
92.00,36.93
93.00,35.85
94.00,36.73
95.00,39.32
96.00,40.56
97.00,34.88
98.00,38.14
99.00,34.09
100.00,42.00
101.00,37.61
102.00,46.45
103.00,39.36
104.00,37.57
105.00,38.40
106.00,41.27
107.00,48.28
108.00,44.50
109.00,39.98
110.00,45.94
111.00,40.78
112.00,41.14
113.00,45.62
114.00,49.02
115.00,41.85
116.00,47.91
117.00,44.55
118.00,47.72
119.00,46.98
120.00,43.78
121.00,45.83
122.00,47.91
123.00,47.70
124.00,48.82
125.00,49.04
126.00,45.71
127.00,47.33
128.00,51.12
129.00,53.33
130.00,51.23
131.00,49.70
132.00,52.63
133.00,48.41
134.00,46.68
135.00,48.75
136.00,55.91
137.00,54.00
138.00,54.79
139.00,47.81
140.00,52.41
141.00,50.37
142.00,51.10
143.00,55.36
144.00,56.79
145.00,58.24
146.00,51.35
147.00,57.05
148.00,56.13
149.00,58.38
150.00,54.74
151.00,56.73
152.00,55.73
153.00,53.57
154.00,59.37
155.00,59.80
156.00,57.50
157.00,58.47
158.00,58.13
159.00,56.96
160.00,61.44
161.00,56.20
162.00,67.51
163.00,59.35
164.00,56.81
165.00,65.70
166.00,60.10
167.00,59.13
168.00,62.27
169.00,59.05
170.00,58.79
171.00,61.87
172.00,65.44
173.00,61.81
174.00,59.13
175.00,64.69
176.00,61.47
177.00,66.06
178.00,66.58
179.00,68.55
180.00,65.96
181.00,62.08
182.00,68.21
183.00,60.56
184.00,62.45
185.00,68.78
186.00,63.43
187.00,64.57
188.00,65.92
189.00,66.12
190.00,61.04
191.00,71.72
192.00,70.78
193.00,66.74
194.00,69.31
195.00,72.45
196.00,68.14
197.00,68.92
198.00,73.86
199.00,72.42
200.00,72.98
201.00,68.59
202.00,72.03
203.00,76.27
204.00,75.02
205.00,72.61
206.00,71.91
207.00,69.37
208.00,78.82
209.00,79.09
210.00,68.68
211.00,74.27
212.00,73.03
213.00,73.99
214.00,76.40
215.00,74.28
216.00,73.67
217.00,70.75
218.00,71.39
219.00,78.51
220.00,77.63
221.00,76.53
222.00,69.45
223.00,73.44
224.00,72.08
225.00,79.05
226.00,74.12
227.00,73.69
228.00,73.70
229.00,74.34
230.00,78.33
231.00,78.25
232.00,80.53
233.00,79.04
234.00,75.05
235.00,81.50
236.00,75.50
237.00,73.96
238.00,79.53
239.00,81.54
240.00,75.56
241.00,80.95
242.00,72.98
243.00,82.37
244.00,80.33
245.00,77.27
246.00,83.90
247.00,79.70
248.00,79.59
249.00,81.36
250.00,77.57
251.00,80.91
252.00,83.74
253.00,83.08
254.00,80.60
255.00,83.62
256.00,84.68
257.00,80.88
258.00,88.35
259.00,78.35
260.00,82.95
261.00,80.96
262.00,80.26
263.00,81.15
264.00,87.72
265.00,85.13
266.00,79.24
267.00,79.60
268.00,93.35
269.00,84.16
270.00,83.92
271.00,78.84
272.00,85.33
273.00,81.89
274.00,85.20
275.00,84.19
276.00,80.87
277.00,83.63
278.00,82.61
279.00,87.02
280.00,90.08
281.00,85.41
282.00,87.11
283.00,86.16
284.00,85.42
285.00,84.45
286.00,88.80
287.00,89.13
288.00,89.85
289.00,85.54
290.00,89.95
291.00,86.24
292.00,83.92
293.00,86.54
294.00,84.24
295.00,84.92
296.00,88.80
297.00,92.54
298.00,83.90
299.00,88.16
300.00,84.90
301.00,88.11
302.00,91.67
303.00,92.67
304.00,88.62
305.00,88.41
306.00,82.73
307.00,87.97
308.00,87.75
309.00,87.86
310.00,88.27
311.00,83.09
312.00,85.86
313.00,91.78
314.00,88.45
315.00,87.11
316.00,92.46
317.00,91.27
318.00,87.56
319.00,89.87
320.00,91.73
321.00,85.93
322.00,91.58
323.00,94.37
324.00,91.50
325.00,90.23
326.00,92.81
327.00,90.43
328.00,91.19
329.00,91.86
330.00,93.47
331.00,86.51
332.00,90.45
333.00,89.13
334.00,91.20
335.00,86.24
336.00,89.46
337.00,86.51
338.00,87.03
339.00,91.96
340.00,90.78
341.00,89.71
342.00,92.71
343.00,91.03
344.00,91.22
345.00,90.46
346.00,92.32
