@relation Dynamic_Log_Rate_s1_alpha0.1
@attribute Time numeric
@attribute target_send_rate numeric
@data
0.00,10.00
1.00,10.00
2.00,10.00
3.00,19.22
4.00,40.62
5.00,10.00
6.00,32.33
7.00,10.00
8.00,47.47
9.00,10.00
10.00,11.85
11.00,10.00
12.00,10.00
13.00,10.00
14.00,10.00
15.00,11.39
16.00,14.07
17.00,10.00
18.00,10.00
19.00,10.00
20.00,17.10
21.00,10.00
22.00,16.78
23.00,10.00
24.00,10.00
25.00,10.00
26.00,10.00
27.00,10.00
28.00,10.00
29.00,24.54
30.00,115.72
31.00,10.00
32.00,10.00
33.00,27.79
34.00,35.05
35.00,26.74
36.00,10.00
37.00,31.10
38.00,10.00
39.00,28.21
40.00,23.81
41.00,10.00
42.00,16.07
43.00,10.00
44.00,24.17
45.00,29.37
46.00,10.00
47.00,25.78
48.00,10.00
49.00,10.00
50.00,10.00
51.00,21.19
52.00,10.00
53.00,10.00
54.00,10.00
55.00,10.00
56.00,11.30
57.00,10.00
58.00,42.31
59.00,10.00
60.00,10.00
61.00,10.00
62.00,10.00
63.00,28.06
64.00,53.84
65.00,11.86
66.00,10.00
67.00,23.86
68.00,13.78
69.00,10.00
70.00,10.34
71.00,41.21
72.00,10.00
73.00,10.00
74.00,10.00
75.00,47.46
76.00,10.00
77.00,27.86
78.00,29.81
79.00,10.00
80.00,10.00
81.00,26.89
82.00,10.00
83.00,36.96
84.00,10.00
85.00,23.60
86.00,10.00
87.00,10.00
88.00,10.00
89.00,43.07
90.00,10.00
91.00,10.00
92.00,18.75
93.00,51.99
94.00,50.44
95.00,10.00
96.00,10.00
97.00,10.00
98.00,24.42
99.00,36.49
100.00,31.88
101.00,54.48
102.00,10.00
103.00,66.22
104.00,44.85
105.00,10.00
106.00,11.24
107.00,10.00
108.00,10.00
109.00,10.00
110.00,39.80
111.00,10.00
112.00,12.43
113.00,10.00
114.00,47.62
115.00,28.10
116.00,38.82
117.00,47.41
118.00,10.00
119.00,10.00
120.00,26.26
121.00,10.00
122.00,10.00
123.00,28.23
124.00,10.00
125.00,10.00
126.00,10.00
127.00,26.09
128.00,10.00
129.00,10.00
130.00,81.44
131.00,15.93
132.00,10.00
133.00,10.00
134.00,10.00
135.00,38.58
136.00,10.00
137.00,18.68
138.00,41.40
139.00,36.47
140.00,10.00
141.00,43.32
142.00,42.78
143.00,19.00
144.00,10.00
145.00,53.78
146.00,35.40
147.00,10.00
148.00,49.38
149.00,10.00
150.00,12.36
151.00,10.00
152.00,10.00
153.00,10.00
154.00,22.14
155.00,38.24
156.00,13.38
157.00,10.00
158.00,10.00
159.00,13.46
160.00,10.00
161.00,26.74
162.00,57.26
163.00,10.00
164.00,13.00
165.00,10.00
166.00,10.00
167.00,10.00
168.00,10.00
169.00,10.00
170.00,32.27
171.00,10.00
172.00,25.40
173.00,10.00
174.00,10.00
175.00,10.00
176.00,10.00
177.00,10.00
178.00,10.58
179.00,10.00
180.00,17.37
181.00,11.37
182.00,30.29
183.00,32.12
184.00,48.79
185.00,10.00
186.00,10.00
187.00,10.00
188.00,45.06
189.00,10.00
190.00,10.00
191.00,10.00
192.00,34.64
193.00,31.64
194.00,25.89
195.00,10.00
196.00,10.00
197.00,13.99
198.00,10.00
199.00,10.00
200.00,27.06
201.00,36.32
202.00,10.00
203.00,24.87
204.00,10.00
205.00,24.13
206.00,49.90
207.00,46.57
208.00,10.00
209.00,20.07
210.00,10.00
211.00,18.63
212.00,12.84
213.00,17.46
214.00,10.00
215.00,10.00
216.00,10.00
217.00,24.50
218.00,10.00
219.00,15.74
220.00,53.46
221.00,10.00
222.00,10.00
223.00,10.00
224.00,36.28
225.00,10.67
226.00,45.40
227.00,10.00
228.00,21.53
229.00,42.69
230.00,28.36
231.00,10.00
232.00,12.91
233.00,30.71
234.00,28.14
235.00,36.06
236.00,10.00
237.00,10.00
238.00,10.00
239.00,10.00
240.00,10.00
241.00,89.93
242.00,10.00
243.00,15.23
244.00,10.00
245.00,38.99
246.00,10.00
247.00,10.00
248.00,10.00
249.00,10.00
250.00,10.00
251.00,15.22
252.00,26.93
253.00,10.00
254.00,10.00
255.00,22.87
256.00,10.00
257.00,10.00
258.00,10.00
259.00,52.94
260.00,49.00
261.00,10.00
262.00,24.45
263.00,10.00
264.00,14.26
265.00,10.00
266.00,10.00
267.00,10.00
268.00,10.00
269.00,10.00
270.00,10.00
271.00,10.00
272.00,28.84
273.00,49.34
274.00,15.24
275.00,10.00
276.00,10.00
277.00,29.36
278.00,25.98
279.00,10.00
280.00,29.32
281.00,10.00
282.00,10.00
283.00,37.49
284.00,10.00
285.00,37.19
286.00,10.00
287.00,10.00
288.00,28.50
289.00,51.38
290.00,32.11
291.00,100.53
292.00,10.00
293.00,10.00
294.00,10.00
295.00,22.23
296.00,10.00
297.00,39.68
298.00,10.00
299.00,10.00
300.00,10.00
301.00,10.00
302.00,24.24
303.00,10.00
304.00,57.87
305.00,47.68
306.00,26.93
307.00,19.40
308.00,17.95
309.00,32.19
310.00,19.50
311.00,84.77
312.00,10.00
313.00,21.48
314.00,10.00
315.00,42.51
316.00,10.00
317.00,10.00
318.00,69.82
319.00,22.79
320.00,10.00
321.00,29.77
322.00,28.24
323.00,10.00
324.00,10.00
325.00,10.00
326.00,10.00
327.00,10.00
328.00,10.00
329.00,10.00
330.00,49.72
331.00,10.00
332.00,10.00
333.00,10.00
334.00,42.68
335.00,10.00
336.00,12.06
337.00,47.31
338.00,21.54
339.00,10.00
340.00,10.00
341.00,72.63
342.00,23.30
343.00,10.00
344.00,10.00
345.00,40.36
346.00,10.00
